Model	Dataset	Status	Message
glmnet	train	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.2969 < 0.5000
glmnet	test	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.2969 < 0.5000
glmnet	valid	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.2969 < 0.5000
xgboost	train	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.5000 < 0.5000
xgboost	test	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.5000 < 0.5000
xgboost	valid	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.5000 < 0.5000
rf	train	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.4688 < 0.5000
rf	test	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.4688 < 0.5000
rf	valid	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.4688 < 0.5000
svm	train	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.3281 < 0.5000
svm	test	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.3281 < 0.5000
svm	valid	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.3281 < 0.5000
naive_bayes	train	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.3438 < 0.5000
naive_bayes	test	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.3438 < 0.5000
naive_bayes	valid	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.3438 < 0.5000
kknn	train	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.3750 < 0.5000
kknn	test	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.3750 < 0.5000
kknn	valid	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.3750 < 0.5000
rpart	train	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.3438 < 0.5000
rpart	test	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.3438 < 0.5000
rpart	valid	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.3438 < 0.5000
adaboost	train	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.4688 < 0.5000
adaboost	test	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.4688 < 0.5000
adaboost	valid	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.4688 < 0.5000
nnet	train	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.2109 < 0.5000
nnet	test	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.2109 < 0.5000
nnet	valid	skipped_poor_model	模型效果低于 SHAP 阈值；Test_AUC=0.2109 < 0.5000
