old_name,new_name
肺炎支原体,feature17_1
大环内酯类抗生素,feature17_2
人腺病毒B组,feature17_3
流感嗜血杆菌,feature17_4
人呼吸道病毒3型（人副流感病毒3型）,feature17_5
人腺病毒2型,feature17_6
人偏肺病毒,feature17_7
肺炎链球菌,feature17_8
甲型流感病毒H3N2,feature17_9
人腺病毒3型,feature17_10
丙型流感病毒,feature17_11
人呼吸道合胞病毒A型,feature17_12
烟曲霉,feature17_13
土曲霉复合群,feature17_14
卡他莫拉菌,feature17_15
人呼吸道合胞病毒B型,feature17_16
人呼吸道病毒1型（人副流感病毒1型）,feature17_17
鼻病毒A型,feature17_18
惠普尔养障体,feature17_19
人博卡病毒1型,feature17_20
鼻病毒B型,feature17_21
肺炎克雷伯菌,feature17_22
乙型流感病毒Victoria系,feature17_23
EB病毒(EBV),feature17_24
人冠状病毒229E,feature17_25
鼻病毒C型,feature17_26
百日咳鲍特菌,feature17_27
白念珠菌,feature17_28
热带念珠菌,feature17_29
阿萨西毛孢子菌,feature17_30
新型冠状病毒,feature17_31
人类细小病毒B19,feature17_32
人类疱疹病毒6A型(HHV-6A),feature17_33
大肠埃希菌,feature17_34
甲型流感病毒H1N1(2009),feature17_35
肺炎衣原体,feature17_36
近平滑念珠菌,feature17_37
鲍曼不动杆菌,feature17_38
嗜麦芽窄食单胞菌,feature17_39
阴沟肠杆菌复合群,feature17_40
铜绿假单胞菌,feature17_41
碳青霉烯酶基因-A类碳青霉烯酶基因,feature17_42
人腮腺炎病毒4型（人副流感病毒4型）,feature17_43
具核梭杆菌,feature17_44
巨细胞病毒(CMV),feature17_45
中间链球菌,feature17_46
微小微单胞菌,feature17_47
耶氏肺孢子菌,feature17_48
人类疱疹病毒7型(HHV-7),feature17_49
金黄色葡萄球菌,feature17_50
军团菌属,feature17_51
人类疱疹病毒6B型(HHV-6B),feature17_52
库德里阿兹威毕赤酵母（克柔念珠菌）,feature17_53
人腺病毒1型,feature17_54
耐甲氧西林葡萄球菌耐药基因,feature17_55
总状毛霉,feature17_56
嗜肺军团菌,feature17_57
人冠状病毒OC43,feature17_58
鼻病毒,feature17_59
甲型流感病毒,feature17_60
变栖克雷伯菌,feature17_61
WU多瘤病毒(WUPyV),feature17_62
化脓链球菌,feature17_63
咽峡炎链球菌群,feature17_64
季也蒙毕赤酵母,feature17_65
单纯疱疹病毒1型(HSV-1),feature17_66
黏质沙雷菌,feature17_67
NA,feature17_68
人腮腺炎病毒2型（人副流感病毒2型）,feature17_69
人冠状病毒NL63,feature17_70
肠道病毒D68型,feature17_71
产酸克雷伯菌,feature17_72
肠道病毒B组,feature17_73
坏死梭杆菌,feature17_74
