clients/jinyu_20250211/legacy_mirror	381	507 MB
clients/jinyu_20250729/legacy_mirror	0	0 B
clients/jinyu_20250908/legacy_mirror	54	24515 kB
clients/jinyu_scripts/legacy_mirror	0	0 B
clients/kangwenzhong/legacy_mirror	185	8495 kB
clients/kangwenzhong_delete_RE_15/legacy_mirror	256	73003 kB
clients/lilei_20260403/legacy_mirror	0	0 B
clients/lina_20251208_legacy/legacy_mirror	0	0 B
clients/lina_20260515/legacy_mirror	0	0 B
clients/lina_legacy/legacy_mirror	8	2005 kB
clients/lina_valid/legacy_mirror	198	12278 kB
clients/python_xgboost_shap/legacy_mirror	141	329 MB
clients/wangxueping/legacy_mirror	65	1877 kB
clients/wangxueping_alltax/legacy_mirror	47	77662 kB
clients/wangxueping_alltax2/legacy_mirror	143	241 MB
