data_for_analysis/20250211-mlr-JINYU -> clients/jinyu_20250211/legacy_mirror/data_for_analysis__20250211-mlr-JINYU	381	507 MB
data_for_analysis/20250908_金域数据单肺炎支原体感染数据建模_repeats20_seed123 -> clients/jinyu_20250908/legacy_mirror/data_for_analysis__20250908_金域数据单肺炎支原体感染数据建模_repeats20_seed123	54	24515 kB
kangwenzhong -> clients/kangwenzhong/legacy_mirror/kangwenzhong	185	8495 kB
kangwenzhong_delete_RE_15 -> clients/kangwenzhong_delete_RE_15/legacy_mirror/kangwenzhong_delete_RE_15	256	73003 kB
lina -> clients/lina_legacy/legacy_mirror/lina	8	2005 kB
lina_valid -> clients/lina_valid/legacy_mirror/lina_valid	198	12278 kB
python_xgboost_shap -> clients/python_xgboost_shap/legacy_mirror/python_xgboost_shap	141	329 MB
wangxueping -> clients/wangxueping/legacy_mirror/wangxueping	65	1877 kB
wangxueping_alltax -> clients/wangxueping_alltax/legacy_mirror/wangxueping_alltax	47	77662 kB
wangxueping_alltax2 -> clients/wangxueping_alltax2/legacy_mirror/wangxueping_alltax2	143	241 MB
