Branch_ID	Branch_Label	SHAP_Status	Model_Count	Status_Rows	SHAP_Excel_Count	Non_Completed	Models	Status_File	Summary_File
0.1	step2	completed	9	18	9	0	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_0.1_step2/step3_shap_all_models_v006_msi12_name_20260609/step3_shap_status.tsv	run_model_0.1_step2/step3_shap_all_models_v006_msi12_name_20260609/step3_shap_summary.xlsx
0.2	step2	completed	9	18	9	0	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_0.2_step2/step3_shap_all_models_v006_msi12_name_20260609/step3_shap_status.tsv	run_model_0.2_step2/step3_shap_all_models_v006_msi12_name_20260609/step3_shap_summary.xlsx
0.3	step2	completed	9	18	9	0	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_0.3_step2/step3_shap_all_models_v006_msi12_name_20260609/step3_shap_status.tsv	run_model_0.3_step2/step3_shap_all_models_v006_msi12_name_20260609/step3_shap_summary.xlsx
1.0	step2	partial_or_failed	9	18	7	4	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_1.0_step2/step3_shap_all_models_v006_msi12_name_20260609/step3_shap_status.tsv	run_model_1.0_step2/step3_shap_all_models_v006_msi12_name_20260609/step3_shap_summary.xlsx
1.1	step2	completed	9	18	9	0	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_1.1_step2/step3_shap_all_models_v006_msi12_name_20260609/step3_shap_status.tsv	run_model_1.1_step2/step3_shap_all_models_v006_msi12_name_20260609/step3_shap_summary.xlsx
1.2	step2	completed	9	18	9	0	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_1.2_step2/step3_shap_all_models_v006_msi12_name_20260609/step3_shap_status.tsv	run_model_1.2_step2/step3_shap_all_models_v006_msi12_name_20260609/step3_shap_summary.xlsx
1.3	step2	partial_or_failed	9	18	8	2	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_1.3_step2/step3_shap_all_models_v006_msi12_name_20260609/step3_shap_status.tsv	run_model_1.3_step2/step3_shap_all_models_v006_msi12_name_20260609/step3_shap_summary.xlsx
1.4	step2	partial_or_failed	9	18	7	4	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_1.4_step2/step3_shap_all_models_v006_msi12_name_20260609/step3_shap_status.tsv	run_model_1.4_step2/step3_shap_all_models_v006_msi12_name_20260609/step3_shap_summary.xlsx
1.5	step2	completed	9	18	9	0	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_1.5_step2/step3_shap_all_models_v006_msi12_name_20260609/step3_shap_status.tsv	run_model_1.5_step2/step3_shap_all_models_v006_msi12_name_20260609/step3_shap_summary.xlsx
1.6	step2	partial_or_failed	9	18	8	2	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_1.6_step2/step3_shap_all_models_v006_msi12_name_20260609/step3_shap_status.tsv	run_model_1.6_step2/step3_shap_all_models_v006_msi12_name_20260609/step3_shap_summary.xlsx
